comment,confirmedCount,curedCount,currentConfirmedCount,deadCount,locationId,provinceName,provinceShortName,statisticsData,suspectedCount,UpdateTime
北京卫健委未明确大部分治愈与死亡病例的分区归属，因此北京市下辖分区的现存确诊暂无法获取。,929,645,275,9,110000,北京市,北京,https://file1.dxycdn.com/2020/0223/004/3398299758115524169-135.json,164,2020-07-10 00:23:07.127589
疑似1例,1365,1167,191,7,810000,香港,香港,https://file1.dxycdn.com/2020/0223/331/3398299755968040033-135.json,63,2020-07-10 00:23:07.127589
因未公布分区死亡和治愈，仅展示累计确诊和现存确诊,721,689,25,7,310000,上海市,上海,https://file1.dxycdn.com/2020/0223/128/3398299755968454977-135.json,300,2020-07-10 00:23:07.127589
成都市包含所有境外输入病例 16例,599,582,14,3,510000,四川省,四川,https://file1.dxycdn.com/2020/0223/926/3398299755968455035-135.json,13,2020-07-10 00:23:07.127589
,162,150,10,2,210000,辽宁省,辽宁,https://file1.dxycdn.com/2020/0223/815/3398299758115938736-135.json,0,2020-07-10 00:23:07.127589
,1647,1631,8,8,440000,广东省,广东,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,11,2020-07-10 00:23:07.127589
,244,237,6,1,150000,内蒙古自治区,内蒙古,https://file1.dxycdn.com/2020/0223/783/3398299758115938727-135.json,34,2020-07-10 00:23:07.127589
,449,438,4,7,710000,台湾,台湾,https://file1.dxycdn.com/2020/0223/045/3398299749526003760-135.json,357,2020-07-10 00:23:07.127589
,349,339,4,6,130000,河北省,河北,https://file1.dxycdn.com/2020/0223/473/3398299751673487477-135.json,0,2020-07-10 00:23:07.127589
,321,314,4,3,610000,陕西省,陕西,https://file1.dxycdn.com/2020/0223/857/3398299753820971228-135.json,1,2020-07-10 00:23:07.127589
,167,162,3,2,620000,甘肃省,甘肃,https://file1.dxycdn.com/2020/0223/559/3398299755968040166-135.json,0,2020-07-10 00:23:07.127589
,363,360,2,1,350000,福建省,福建,https://file1.dxycdn.com/2020/0223/744/3398299751673071813-135.json,3,2020-07-10 00:23:07.127589
,187,183,2,2,530000,云南省,云南,https://file1.dxycdn.com/2020/0223/159/3398299758115523929-135.json,0,2020-07-10 00:23:07.127589
2月10日通报核减的12例在浙江省治愈的外省病例，根据国家最新要求重新纳入累计病例。,1269,1267,1,1,330000,浙江省,浙江,https://file1.dxycdn.com/2020/0223/537/3398299755968455045-135.json,3,2020-07-10 00:23:07.127589
,582,575,1,6,500000,重庆市,重庆,https://file1.dxycdn.com/2020/0223/368/3398299751673487486-135.json,1,2020-07-10 00:23:07.127589
,199,195,1,3,120000,天津市,天津,https://file1.dxycdn.com/2020/0223/669/3398299753820555949-135.json,48,2020-07-10 00:23:07.127589
,199,198,1,0,140000,山西省,山西,https://file1.dxycdn.com/2020/0223/196/3398299755968040081-135.json,64,2020-07-10 00:23:07.127589
确诊病例中含9例境外输入病例,46,45,1,0,820000,澳门,澳门,https://file1.dxycdn.com/2020/0223/840/3398299753820971267-135.json,9,2020-07-10 00:23:07.127589
4.17 武汉市订正数据，武汉死亡核增1290，确诊核增325，治愈核减965,68135,63623,0,4512,420000,湖北省,湖北,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,0,2020-07-10 00:23:07.127589
,1276,1254,0,22,410000,河南省,河南,https://file1.dxycdn.com/2020/0223/958/3398299751673487456-135.json,0,2020-07-10 00:23:07.127589
,1019,1015,0,4,430000,湖南省,湖南,https://file1.dxycdn.com/2020/0223/440/3398299751673072079-135.json,0,2020-07-10 00:23:07.127589
,991,985,0,6,340000,安徽省,安徽,https://file1.dxycdn.com/2020/0223/734/3398299753820971301-135.json,0,2020-07-10 00:23:07.127589
,947,934,0,13,230000,黑龙江省,黑龙江,https://file1.dxycdn.com/2020/0223/643/3398299753820971199-135.json,394,2020-07-10 00:23:07.127589
,932,931,0,1,360000,江西省,江西,https://file1.dxycdn.com/2020/0223/161/3398299751673072165-135.json,0,2020-07-10 00:23:07.127589
,792,785,0,7,370000,山东省,山东,https://file1.dxycdn.com/2020/0223/601/3398299749526003726-135.json,14,2020-07-10 00:23:07.127589
,654,654,0,0,320000,江苏省,江苏,https://file1.dxycdn.com/2020/0223/111/3398299753820971290-135.json,3,2020-07-10 00:23:07.127589
,254,252,0,2,450000,广西壮族自治区,广西,https://file1.dxycdn.com/2020/0223/536/3398299758115523880-135.json,0,2020-07-10 00:23:07.127589
,171,165,0,6,460000,海南省,海南,https://file1.dxycdn.com/2020/0223/126/3398299753820555862-135.json,0,2020-07-10 00:23:07.127589
,155,153,0,2,220000,吉林省,吉林,https://file1.dxycdn.com/2020/0223/046/3398299755968039975-135.json,19,2020-07-10 00:23:07.127589
3 月 17 日贵阳市新增 1 例境外输入无症状感染者,147,145,0,2,520000,贵州省,贵州,https://file1.dxycdn.com/2020/0223/148/3398299753820971243-135.json,0,2020-07-10 00:23:07.127589
,76,73,0,3,650000,新疆维吾尔自治区,新疆,https://file1.dxycdn.com/2020/0223/497/3398299753820556085-135.json,0,2020-07-10 00:23:07.127589
,75,75,0,0,640000,宁夏回族自治区,宁夏,https://file1.dxycdn.com/2020/0223/353/3398299755968455019-135.json,0,2020-07-10 00:23:07.127589
,18,18,0,0,630000,青海省,青海,https://file1.dxycdn.com/2020/0223/581/3398299758115524121-135.json,0,2020-07-10 00:23:07.127589
,1,1,0,0,540000,西藏自治区,西藏,https://file1.dxycdn.com/2020/0223/353/3398299755968039885-135.json,0,2020-07-10 00:23:07.127589
